Genre	Artist
Genre4	 Roberto Maida
Genre4	Sinclair Lewis
Genre4	 Frank Arnold
Genre2	Carmen Miranda
Genre4	Franz Joseph Haydn
Genre4	 Pro Arte Quartet
Genre4	Sinclair Lewis
Genre4	 Frank Arnold
Genre4	Franz Joseph Haydn
Genre4	 Pro Arte Quartet
Genre4	Sinclair Lewis
Genre4	 Frank Arnold
Genre4	Sinclair Lewis
Genre4	 Frank Arnold
Genre0	Richard Wagner
Genre0	 Karl Böhm
Genre0	 Staatskapelle Dresden
Genre8	Эрнест Хемингуэй
Genre6	Эрнест Хемингуэй
Genre8	Эрнест Хемингуэй
Genre0	Franz Joseph Haydn
Genre0	 Pro Arte Quartet
Genre4	Sinclair Lewis
Genre4	 Frank Arnold
Genre0	 Karl Böhm
Genre0	 Staatskapelle Dresden
Genre2	Carmen Miranda
Genre2	Sinclair Lewis
Genre2	 Frank Arnold
Genre7	Wolfgang Amadeus Mozart
Genre7	 Karl Böhm
Genre7	 Staatskapelle Dresden
Genre6	Эрнест Хемингуэй
Genre8	Эрнест Хемингуэй
Genre2	Sinclair Lewis
Genre2	 Frank Arnold
Genre4	Lead Belly
Genre4	Lead Belly
Genre6	Эрнест Хемингуэй
Genre4	Sinclair Lewis
Genre4	 Frank Arnold
Genre8	Эрнест Хемингуэй
Genre8	Эрнест Хемингуэй
Genre7	Wolfgang Amadeus Mozart
Genre7	 Karl Böhm
Genre7	 Staatskapelle Dresden
Genre7	Franz Joseph Haydn
Genre7	 Pro Arte Quartet
Genre7	Ludwig van Beethoven
Genre7	 New York Philharmonic
Genre7	 Arturo Toscanini
Genre0	Ludwig van Beethoven
Genre0	 New York Philharmonic
Genre0	 Leonard Bernstein
Genre0	Ludwig van Beethoven
Genre0	 Columbia Symphony Orchestra
Genre0	 Bruno Walter
Genre5	Ludwig van Beethoven
Genre5	 Wiener Philharmoniker
Genre5	 Herbert von Karajan
Genre0	Ludwig van Beethoven
Genre0	 Concertgebouworkest
Genre0	Ludwig van Beethoven
Genre0	Ludwig van Beethoven
Genre0	 Concertgebouworkest
Genre0	Ludwig van Beethoven
Genre0	 Berliner Philharmoniker
Genre0	 Wilhelm Furtwängler
Genre5	Ludwig van Beethoven
Genre5	 Philharmonia Orchestra
Genre5	 Herbert von Karajan
Genre0	Ludwig van Beethoven
Genre0	 Fritz Reiner
Genre0	Ludwig van Beethoven
Genre0	 Wilhelm Furtwängler
Genre0	Ludwig van Beethoven
Genre0	 New York Philharmonic
Genre0	 Leonard Bernstein
Genre7	Ludwig van Beethoven
Genre7	 New York Philharmonic
Genre7	 Arturo Toscanini
Genre0	Ludwig van Beethoven
Genre2	Ludwig van Beethoven
Genre2	 New York Philharmonic
Genre2	 Arturo Toscanini
Genre0	Ludwig van Beethoven
